label,,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,fdr
HLH,10,HP,HP:0000132,Menorrhagia,0.0009047341128985249,True,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.,33,4,3,4962,0.75,0.09090909090909091,query_1,"['HP:0000140', 'HP:0001892']","['F10', 'F11', 'GP1BA']","[['HP'], ['HP'], ['HP']]",0.002056213892951193
HLH,11,REAC,REAC:R-HSA-109582,Hemostasis,0.0011197911931068868,True,Hemostasis,672,6,5,10835,0.8333333333333334,0.00744047619047619,query_1,['REAC:0000000'],"['ALB', 'F10', 'F11', 'GP1BA', 'SELL']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",0.002332898318972681
HLH,12,GO:CC,GO:0005576,extracellular region,0.001425177712963573,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4206,7,7,22090,1.0,0.0016642891107941037,query_1,['GO:0110165'],"['ALB', 'APOM', 'CRTAC1', 'F10', 'F11', 'GP1BA', 'SELL']","[['IDA', 'HDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['HDA', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'HDA', 'TAS', 'NAS', 'IEA'], ['HDA', 'IBA'], ['IBA']]",0.002740726371083794
HLH,13,WP,WP:WP272,Blood clotting cascade,0.0087849037730928,True,Blood clotting cascade,22,6,2,8625,0.3333333333333333,0.09090909090909091,query_1,['WP:000000'],"['F10', 'F11']","[['WP'], ['WP']]",0.015687328166237142
HLH,14,GO:MF,GO:0008289,lipid binding,0.013098815552067879,True,"""Binding to a lipid."" [GOC:ai]",831,7,4,20139,0.5714285714285714,0.0048134777376654635,query_1,['GO:0005488'],"['ALB', 'APOM', 'F10', 'SELL']","[['IDA', 'NAS', 'IEA'], ['IDA', 'IBA'], ['IDA'], ['TAS']]",0.021831359253446467
HLH,15,HP,HP:0000421,Epistaxis,0.026540748460901428,True,"Epistaxis, or nosebleed, refers to a hemorrhage localized in the nose.",100,4,3,4962,0.75,0.03,query_1,"['HP:0000366', 'HP:0001892']","['F10', 'F11', 'GP1BA']","[['HP'], ['HP'], ['HP']]",0.04144319413995661
HLH,16,WP,WP:WP5115,Network map of SARS-CoV-2 signaling pathway,0.028181372015170496,True,Network map of SARS-CoV-2 signaling pathway,217,6,3,8625,0.5,0.013824884792626729,query_1,['WP:000000'],"['ALB', 'APOM', 'GP1BA']","[['WP'], ['WP'], ['WP']]",0.04144319413995661
HLH,17,GO:BP,GO:0042730,fibrinolysis,0.03326609124546335,True,"""A process that solubilizes fibrin in the bloodstream of a multicellular organism, chiefly by the proteolytic action of plasmin."" [GOC:jl, PMID:15842654]",27,7,2,21010,0.2857142857142857,0.07407407407407407,query_1,['GO:0030195'],"['F11', 'GP1BA']","[['IDA'], ['IDA']]",0.04620290450758799
HLH,18,GO:CC,GO:0009897,external side of plasma membrane,0.037369716223821854,True,"""The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]",427,7,3,22090,0.42857142857142855,0.00702576112412178,query_1,"['GO:0005886', 'GO:0009986', 'GO:0098552']","['F10', 'GP1BA', 'SELL']","[['IC'], ['IDA', 'IEA'], ['IBA']]",0.04917067924187086
HLH,19,GO:BP,GO:0007596,blood coagulation,0.04164042602579283,True,"""The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers."" [http://www.graylab.ac.uk/omd/, ISBN:0198506732]",226,7,3,21010,0.42857142857142855,0.01327433628318584,query_1,"['GO:0007599', 'GO:0042060', 'GO:0050817']","['F10', 'F11', 'GP1BA']","[['IBA', 'TAS', 'IC', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IPI', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]",0.049940271435395145
HLH,20,GO:BP,GO:0050817,coagulation,0.044446683197061125,True,"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]",231,7,3,21010,0.42857142857142855,0.012987012987012988,query_1,['GO:0032501'],"['F10', 'F11', 'GP1BA']","[['IBA', 'TAS', 'IC', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IPI', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]",0.049940271435395145
HLH,21,GO:BP,GO:0007599,hemostasis,0.04560317506876044,True,"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]",233,7,3,21010,0.42857142857142855,0.012875536480686695,query_1,['GO:0050878'],"['F10', 'F11', 'GP1BA']","[['IBA', 'TAS', 'IC', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IPI', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]",0.049940271435395145
HLH,22,GO:MF,GO:0016209,antioxidant activity,0.04876399330616696,True,"""Inhibition of the reactions brought about by dioxygen (O2) or peroxides. Usually the antioxidant is effective because it can itself be more easily oxidized than the substance protected. The term is often applied to components that can trap free radicals, thereby breaking the chain reaction that normally leads to extensive biological damage."" [ISBN:0198506732]",82,7,2,20139,0.2857142857142857,0.024390243902439025,query_1,['GO:0003674'],"['ALB', 'APOM']","[['NAS'], ['IDA', 'IEA']]",0.049940271435395145
HLH,23,HP,HP:0004846,Prolonged bleeding after surgery,0.04938767547440286,True,Bleeding that persists longer than the normal time following a surgical procedure.,16,4,2,4962,0.5,0.125,query_1,['HP:0011890'],"['F10', 'GP1BA']","[['HP'], ['HP']]",0.049940271435395145
HLH,24,GO:MF,GO:0070009,serine-type aminopeptidase activity,0.049940271435395145,True,"""Catalysis of the hydrolysis of a single N-terminal amino acid residue from a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."" [https://www.ebi.ac.uk/merops/about/glossary.shtml#AMINOPEPTIDASE, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE]",1,7,1,20139,0.14285714285714285,1.0,query_1,"['GO:0004177', 'GO:0070008']",['F11'],[['IEA']],0.049940271435395145
HML,0,GO:CC,GO:0005576,extracellular region,6.364614884758309e-13,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4206,20,20,22090,1.0,0.004755111745126011,query_1,['GO:0110165'],"['ADGRB3', 'APOA2', 'BCHE', 'BTD', 'CA1', 'CLEC3B', 'CNDP1', 'CPB2', 'F2', 'FETUB', 'HBB', 'HBD', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['IBA', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['HDA', 'TAS', 'NAS', 'IEA'], ['HDA', 'TAS', 'IEA'], ['HDA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['HDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], ['HDA', 'IBA', 'IEA'], ['IDA', 'HDA', 'TAS'], ['HDA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'HDA'], ['HDA', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['HDA'], ['IDA', 'HDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['HDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA']]",2.991368995836405e-11
HML,1,GO:CC,GO:0070062,extracellular exosome,2.5402809290277998e-11,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2109,20,16,22090,0.8,0.007586533902323376,query_1,"['GO:0005615', 'GO:1903561']","['APOA2', 'BTD', 'CA1', 'CLEC3B', 'CPB2', 'F2', 'FETUB', 'HBB', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['IDA', 'HDA']]",2.3931640007581503e-10
HML,2,GO:CC,GO:0005615,extracellular space,2.859445869563297e-11,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3284,20,18,22090,0.9,0.0054811205846528625,query_1,"['GO:0005576', 'GO:0110165']","['APOA2', 'BCHE', 'BTD', 'CA1', 'CLEC3B', 'CPB2', 'F2', 'FETUB', 'HBB', 'HBD', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA'], ['IDA', 'HDA', 'IBA'], ['HDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['HDA', 'IEA'], ['IDA', 'HDA'], ['HDA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'HDA'], ['HDA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], ['HDA'], ['IDA', 'HDA', 'ISS', 'IBA', 'IEA'], ['HDA', 'IBA', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA']]",2.3931640007581503e-10
HML,3,GO:CC,GO:1903561,extracellular vesicle,3.0327647684462274e-11,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2133,20,16,22090,0.8,0.007501172058134084,query_1,"['GO:0031982', 'GO:0065010']","['APOA2', 'BTD', 'CA1', 'CLEC3B', 'CPB2', 'F2', 'FETUB', 'HBB', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['IDA', 'HDA']]",2.3931640007581503e-10
HML,4,GO:CC,GO:0043230,extracellular organelle,3.0551029796912555e-11,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2134,20,16,22090,0.8,0.007497656982193065,query_1,"['GO:0005576', 'GO:0043226']","['APOA2', 'BTD', 'CA1', 'CLEC3B', 'CPB2', 'F2', 'FETUB', 'HBB', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['IDA', 'HDA']]",2.3931640007581503e-10
HML,5,GO:CC,GO:0065010,extracellular membrane-bounded organelle,3.0551029796912555e-11,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",2134,20,16,22090,0.8,0.007497656982193065,query_1,"['GO:0043227', 'GO:0043230']","['APOA2', 'BTD', 'CA1', 'CLEC3B', 'CPB2', 'F2', 'FETUB', 'HBB', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['IDA', 'HDA']]",2.3931640007581503e-10
HML,6,GO:CC,GO:0072562,blood microparticle,2.962440832435399e-07,True,"""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."" [GOC:BHF, GOC:mah, PMID:16373184]",136,20,6,22090,0.3,0.04411764705882353,query_1,"['GO:0005615', 'GO:0110165']","['APOA2', 'BCHE', 'F2', 'HBB', 'HBD', 'PON1']","[['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA']]",1.989067416063768e-06
HML,7,GO:CC,GO:0031982,vesicle,4.6114725277393946e-07,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",3976,20,16,22090,0.8,0.004024144869215292,query_1,['GO:0043227'],"['APOA2', 'BTD', 'CA1', 'CLEC3B', 'CPB2', 'F2', 'FETUB', 'HBB', 'IGFALS', 'PCYOX1', 'PGLYRP2', 'PON1', 'PRDX2', 'RBP4', 'SERPINA4', 'SERPINA5']","[['HDA', 'TAS'], ['HDA'], ['HDA'], ['HDA', 'TAS'], ['HDA'], ['HDA'], ['HDA'], ['HDA', 'TAS'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA'], ['HDA', 'TAS'], ['IDA', 'HDA']]",2.7092401100468946e-06
HML,8,GO:CC,GO:0034358,plasma lipoprotein particle,0.0008832859396675076,True,"""A spherical particle with a hydrophobic core of triglycerides and/or cholesterol esters, surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins. Plasma lipoprotein particles transport lipids, which are non-covalently associated with the particles, in the blood or lymph."" [GOC:BHF, GOC:expert_pt, GOC:rl]",38,20,3,22090,0.15,0.07894736842105263,query_1,"['GO:0005615', 'GO:1990777']","['APOA2', 'PCYOX1', 'PON1']","[['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IDA', 'TAS', 'IEA']]",0.004151443916437286
HML,9,GO:CC,GO:1990777,lipoprotein particle,0.0008832859396675076,True,"""A spherical particle containing non-covalently associated proteins and lipids. Examples are plasma lipoprotein particles which transport lipids in the blood or lymph."" [GOC:vesicles]",38,20,3,22090,0.15,0.07894736842105263,query_1,['GO:0032994'],"['APOA2', 'PCYOX1', 'PON1']","[['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IDA', 'TAS', 'IEA']]",0.004151443916437286
HML,10,GO:CC,GO:0032994,protein-lipid complex,0.0011142167791175093,True,"""A macromolecular complex containing separate protein and lipid molecules. Separate in this context means not covalently bound to each other."" [GOC:mah]",41,20,3,22090,0.15,0.07317073170731707,query_1,['GO:0032991'],"['APOA2', 'PCYOX1', 'PON1']","[['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IDA', 'TAS', 'IEA']]",0.004760744419865722
HML,11,GO:MF,GO:0031721,hemoglobin alpha binding,0.0028342542348410438,True,"""Binding to a hemoglobin alpha chain."" [GOC:mah]",5,20,2,20139,0.1,0.4,query_1,['GO:0030492'],"['HBB', 'HBD']","[['IBA'], ['IBA']]",0.010299704397873036
HML,12,GO:BP,GO:1900048,positive regulation of hemostasis,0.0030679970546855853,True,"""Any process that activates or increases the frequency, rate or extent of hemostasis."" [GOC:TermGenie]",28,19,3,21010,0.15789473684210525,0.10714285714285714,query_1,"['GO:0007599', 'GO:0048518', 'GO:1900046']","['CPB2', 'F2', 'PRDX2']","[['IEA'], ['IDA', 'IBA', 'TAS'], ['IEA']]",0.010299704397873036
HML,13,GO:BP,GO:0030194,positive regulation of blood coagulation,0.0030679970546855853,True,"""Any process that activates or increases the frequency, rate or extent of blood coagulation."" [GOC:mah]",28,19,3,21010,0.15789473684210525,0.10714285714285714,query_1,"['GO:0007596', 'GO:0030193', 'GO:0050820', 'GO:0090303', 'GO:1900048']","['CPB2', 'F2', 'PRDX2']","[['IEA'], ['IDA', 'IBA', 'TAS'], ['IEA']]",0.010299704397873036
HML,14,GO:CC,GO:0034366,spherical high-density lipoprotein particle,0.003659042745014461,True,"""A mature high-density lipoprotein (HDL) particle, converted from discoidal HDL particles following the esterification of cholesterol in the particle by phosphatidylcholine-sterol O-acyltransferase (lecithin cholesterol acyltransferase; LCAT)."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]",8,20,2,22090,0.1,0.25,query_1,['GO:0034364'],"['APOA2', 'PON1']","[['IDA', 'IBA'], ['IDA']]",0.011094214643607695
HML,15,GO:BP,GO:0050820,positive regulation of coagulation,0.003797875883440721,True,"""Any process that activates or increases the frequency, rate or extent of coagulation."" [GOC:ai]",30,19,3,21010,0.15789473684210525,0.1,query_1,"['GO:0050817', 'GO:0050818', 'GO:0051240']","['CPB2', 'F2', 'PRDX2']","[['IEA'], ['IDA', 'IBA', 'TAS'], ['IEA']]",0.011094214643607695
HML,16,GO:BP,GO:0042744,hydrogen peroxide catabolic process,0.00420238922894297,True,"""The chemical reactions and pathways resulting in the breakdown of hydrogen peroxide (H2O2)."" [GOC:jl]",31,19,3,21010,0.15789473684210525,0.0967741935483871,query_1,"['GO:0042743', 'GO:0044248', 'GO:1901575']","['HBB', 'HBD', 'PRDX2']","[['IDA', 'IBA'], ['IBA'], ['IBA', 'TAS', 'IEA']]",0.011094214643607695
HML,17,GO:MF,GO:0004064,arylesterase activity,0.0042488481613816706,True,"""Catalysis of the reaction: a phenyl acetate + H2O = a phenol + acetate."" [EC:3.1.1.2]",6,20,2,20139,0.1,0.3333333333333333,query_1,['GO:0052689'],"['CA1', 'PON1']","[['IMP'], ['IDA', 'IBA', 'NAS', 'IEA']]",0.011094214643607695
HML,18,GO:MF,GO:0050997,quaternary ammonium group binding,0.006095182989164248,True,"""Binding to a quaternary ammonium group, including glycine betaine, choline, carnitine and proline. A quaternary ammonium group is any compound that can be regarded as derived from ammonium hydroxide or an ammonium salt by replacement of all four hydrogen atoms of the NH4+ ion by organic groups."" [GOC:ai]",54,20,3,20139,0.15,0.05555555555555555,query_1,['GO:0005488'],"['APOA2', 'BCHE', 'SERPINA5']","[['IDA', 'IBA'], ['IEA'], ['IDA']]",0.014323680024535983
HML,19,GO:MF,GO:0004601,peroxidase activity,0.006095182989164248,True,"""Catalysis of the reaction: a donor + a peroxide = an oxidized donor + 2 H2O."" [GOC:curators]",54,20,3,20139,0.15,0.05555555555555555,query_1,"['GO:0016209', 'GO:0016684']","['HBB', 'HBD', 'PRDX2']","[['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA']]",0.014323680024535983
HML,20,GO:MF,GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",0.006803120622612558,True,"""Catalysis of an oxidation-reduction (redox) reaction in which the peroxide group acts as a hydrogen or electron acceptor."" [GOC:ai]",56,20,3,20139,0.15,0.05357142857142857,query_1,['GO:0016491'],"['HBB', 'HBD', 'PRDX2']","[['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA']]",0.015109913852490123
HML,21,GO:CC,GO:0031838,haptoglobin-hemoglobin complex,0.007175700192569603,True,"""A protein complex formed by the stable binding of a haptoglobin to hemoglobin."" [GOC:mah]",11,20,2,22090,0.1,0.18181818181818182,query_1,['GO:0032991'],"['HBB', 'HBD']","[['IDA', 'IBA'], ['IBA']]",0.015109913852490123
HML,22,WP,WP:WP558,Complement and coagulation cascades,0.007527456248585336,True,Complement and coagulation cascades,58,12,3,8625,0.25,0.05172413793103448,query_1,['WP:000000'],"['CPB2', 'F2', 'SERPINA5']","[['WP'], ['WP'], ['WP']]",0.015109913852490123
HML,23,KEGG,KEGG:04610,Complement and coagulation cascades,0.0077157006906332535,True,Complement and coagulation cascades,86,10,3,8161,0.3,0.03488372093023256,query_1,['KEGG:00000'],"['CPB2', 'F2', 'SERPINA5']","[['KEGG'], ['KEGG'], ['KEGG']]",0.015109913852490123
HML,24,GO:BP,GO:0045861,negative regulation of proteolysis,0.009910166882314164,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:go_curators]",309,19,5,21010,0.2631578947368421,0.016181229773462782,query_1,"['GO:0006508', 'GO:0030162', 'GO:0051248']","['CPB2', 'F2', 'FETUB', 'SERPINA4', 'SERPINA5']","[['IEA'], ['IDA'], ['ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA']]",0.017719034293717663
HML,25,GO:CC,GO:0005833,hemoglobin complex,0.010165396776425814,True,"""An iron-containing, oxygen carrying complex. In vertebrates it is made up of two pairs of associated globin polypeptide chains, each chain carrying a noncovalently bound heme prosthetic group."" [GOC:jl, ISBN:0198506732]",13,20,2,22090,0.1,0.15384615384615385,query_1,"['GO:0005829', 'GO:0032991']","['HBB', 'HBD']","[['IDA', 'IPI', 'IBA', 'TAS', 'NAS', 'IEA'], ['IPI', 'IBA', 'TAS', 'IEA']]",0.017719034293717663
HML,26,GO:MF,GO:0030492,hemoglobin binding,0.010179019700646318,True,"""Binding to hemoglobin, an oxygen carrying, conjugated protein containing four heme groups and globin."" [GOC:jl]",9,20,2,20139,0.1,0.2222222222222222,query_1,['GO:0005515'],"['HBB', 'HBD']","[['IDA', 'IBA'], ['IBA']]",0.017719034293717663
HML,27,GO:CC,GO:0031089,platelet dense granule lumen,0.011853188871480548,True,"""The volume enclosed by the membrane of the platelet dense granule."" [GOC:mah]",14,20,2,22090,0.1,0.14285714285714285,query_1,"['GO:0034774', 'GO:0042827']","['CLEC3B', 'SERPINA4']","[['TAS'], ['TAS']]",0.019896424177128065
HML,28,GO:MF,GO:0031720,haptoglobin binding,0.012716194282698679,True,"""Binding to a haptoglobin, any alpha2 globulin of blood plasma that can combine with free oxyhemoglobin to form a stable complex."" [GOC:mah, ISBN:0198506732]",10,20,2,20139,0.1,0.2,query_1,['GO:0005515'],"['HBB', 'HBD']","[['IDA', 'IBA'], ['IBA']]",0.02060900452713234
HML,29,GO:BP,GO:0006508,proteolysis,0.013191453541748683,True,"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]",1766,19,9,21010,0.47368421052631576,0.005096262740656852,query_1,['GO:0019538'],"['BCHE', 'CLEC3B', 'CNDP1', 'CPB2', 'F2', 'FETUB', 'PCYOX1', 'SERPINA4', 'SERPINA5']","[['TAS'], ['ISS'], ['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IBA', 'IEA'], ['IBA', 'IEA']]",0.0206666105487396
HML,30,WP,WP:WP5115,Network map of SARS-CoV-2 signaling pathway,0.02037271429978305,True,Network map of SARS-CoV-2 signaling pathway,217,12,4,8625,0.3333333333333333,0.018433179723502304,query_1,['WP:000000'],"['APOA2', 'HBB', 'HBD', 'SERPINA5']","[['WP'], ['WP'], ['WP'], ['WP']]",0.030887663615800108
HML,31,GO:MF,GO:0016209,antioxidant activity,0.02137971077749967,True,"""Inhibition of the reactions brought about by dioxygen (O2) or peroxides. Usually the antioxidant is effective because it can itself be more easily oxidized than the substance protected. The term is often applied to components that can trap free radicals, thereby breaking the chain reaction that normally leads to extensive biological damage."" [ISBN:0198506732]",82,20,3,20139,0.15,0.036585365853658534,query_1,['GO:0003674'],"['HBB', 'HBD', 'PRDX2']","[['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA']]",0.03140145020445264
