Gene Symbol,organ
GEMIN3,Male tissue
POU1F1,Endocrine tissue
GHF-1,Endocrine tissue
PIT1,Endocrine tissue
POU1F1a,Endocrine tissue
ROPN1,Male tissue
CT91,Male tissue
ODF6,Male tissue
ROPN1A,Male tissue
ropporin,Male tissue
SNAP91,Brain
AP180,Brain
CALM,Brain
KIAA0656,Brain
ASPM,Blood and immune system
ASP,Blood and immune system
Calmbp1,Blood and immune system
FLJ10517,Blood and immune system
FLJ10549,Blood and immune system
MCPH5,Blood and immune system
STAG3,Male tissue
CACNB1,Heart and skeletal muscle
CACNLB1,Heart and skeletal muscle
PKM,Heart and skeletal muscle
OIP3,Heart and skeletal muscle
PK3,Heart and skeletal muscle
PKM2,Heart and skeletal muscle
THBP1,Heart and skeletal muscle
SYT1,Brain
P65,Brain
SVP65,Brain
SYT,Brain
PDZD4,Brain
FLJ34125,Brain
KIAA1444,Brain
LNX5,Brain
LU1,Brain
PDZK4,Brain
PDZRN4L,Brain
FGFR3,Skin
ACH,Skin
CD333,Skin
CEK2,Skin
JTK4,Skin
PAGE1,Male tissue
CT16.3,Male tissue
GAGE-9,Male tissue
GAGEB1,Male tissue
PAGE-1,Male tissue
ADAM7,Male tissue
EAPI,Male tissue
GP-83,Male tissue
GAL,Endocrine tissue
GAL-GMAP,Endocrine tissue
GALN,Endocrine tissue
GLNN,Endocrine tissue
GMAP,Endocrine tissue
DRD4,Eye
GUCY2C,GI-tract
GUC2C,GI-tract
STAR,GI-tract
SLC44A1,Brain
CD92,Brain
CDw92,Brain
CHTL1,Brain
CTL1,Brain
FSTL3,Female tissue
FLRG,Female tissue
FSRP,Female tissue
CNGB1,Eye
CNCG2,Eye
CNCG3L,Eye
CNGB1B,Eye
GAR1,Eye
GARP,Eye
RCNC2,Eye
RCNCb,Eye
RP45,Eye
SLC12A3,Kidney
NCCT,Kidney
SPP2,Liver
SPP24,Liver
NFATC3,Blood and immune system
NFAT4,Blood and immune system
NFATX,Blood and immune system
TMEM38A,Heart and skeletal muscle
MGC3169,Heart and skeletal muscle
TRIC-A,Heart and skeletal muscle
MOV10L1,Male tissue
CHAMP,Male tissue
DJ402G11.8,Male tissue
DKFZp434B0717,Male tissue
FNDC8,Male tissue
DKFZp434H2215,Male tissue
ABCB11,Liver
ABC16,Liver
BSEP,Liver
PFIC-2,Liver
PFIC2,Liver
PGY4,Liver
SPGP,Liver
CD5L,Blood and immune system
API6,Blood and immune system
Spalpha,Blood and immune system
CDHR2,GI-tract
FLJ20124,GI-tract
FLJ20383,GI-tract
PC-LKC,GI-tract
PCDH24,GI-tract
PCLKC,GI-tract
SNCB,Brain
SLC24A1,Eye
CSNB1D,Eye
HsT17412,Eye
KIAA0702,Eye
NCKX,Eye
NCKX1,Eye
RODX,Eye
SLC12A1,Kidney
NKCC2,Kidney
KCNQ2,Brain
BFNC,Brain
EBN,Brain
EBN1,Brain
ENB1,Brain
HNSPC,Brain
KCNA11,Brain
Kv7.2,Brain
TUBA3D,Male tissue
H2-ALPHA,Male tissue
ACTL6B,Brain
ACTL6,Brain
BAF53B,Brain
FKBP6,Male tissue
FKBP36,Male tissue
PPIase,Male tissue
SMC1B,Male tissue
bK268H5,Male tissue
SMC1L2,Male tissue
MAP2,Brain
MAP2A,Brain
MAP2B,Brain
MAP2C,Brain
AMPH,Brain
LAMP3,Lung
CD208,Lung
DC-LAMP,Lung
DCLAMP,Lung
LAMP,Lung
TSC403,Lung
NEBL,Heart and skeletal muscle
LASP2,Heart and skeletal muscle
LNEBL,Heart and skeletal muscle
SYNJ2,Brain
INPP5H,Brain
BRINP1,Brain
DBC1,Brain
DBCCR1,Brain
FAM5A,Brain
RUNX1T1,Brain
AML1T1,Brain
CBFA2T1,Brain
CDR,Brain
ETO,Brain
MTG8,Brain
ZMYND2,Brain
CDH17,GI-tract
cadherin,GI-tract
HPT-1,GI-tract
SLC1A3,Brain
EA6,Brain
EAAT1,Brain
GLAST,Brain
AFM,Liver
ALB2,Liver
ALBA,Liver
PGM1,Heart and skeletal muscle
RIMS1,Brain
CORD7,Brain
KIAA0340,Brain
RAB3IP2,Brain
RIM,Brain
RIM1,Brain
DDX43,Male tissue
CT13,Male tissue
DKFZp434H2114,Male tissue
HAGE,Male tissue
RDH8,Eye
PRRDH,Eye
SDR28C2,Eye
CPB2,Liver
CPU,Liver
PCPB,Liver
TAFI,Liver
CFHR2,Liver
CFHL2,Liver
FHR2,Liver
HFL3,Liver
TCF7,Blood and immune system
TCF-1,Blood and immune system
CDH7,Brain
IMPG2,Eye
IPM200,Eye
RP56,Eye
CACNA1S,Heart and skeletal muscle
CACNL1A3,Heart and skeletal muscle
Cav1.1,Heart and skeletal muscle
HOKPP,Heart and skeletal muscle
hypoPP,Heart and skeletal muscle
MHS5,Heart and skeletal muscle
SLC13A1,Kidney
NAS1,Kidney
NaSi-1,Kidney
CADPS2,Brain
CAPS2,Brain
MPP4,Eye
DLG6,Eye
C1QTNF3,
2310005P21Rik,
Corcs,
Cors,
Cors-26,
CTRP3,
KCNK2,Endocrine tissue
K2p2.1,Endocrine tissue
TREK-1,Endocrine tissue
EPYC,Female tissue
DSPG3,Female tissue
Pg-Lb,Female tissue
SLRR3B,Female tissue
SLC27A5,Liver
ACSB,Liver
ACSVL6,Liver
FACVL3,Liver
FATP5,Liver
FLJ22987,Liver
VLACSR,Liver
VLCS-H2,Liver
VLCSH2,Liver
AGBL5,Male tissue
CCP5,Male tissue
FLJ21839,Male tissue
KIF3C,Brain
GCKR,Liver
OVGP1,Female tissue
CHIT5,Female tissue
MUC9,Female tissue
PILRA,Blood and immune system
FDF03,Blood and immune system
AQP6,Kidney
AQP2L,Kidney
ERO1B,Pancreas
ERO1-L(beta),Pancreas
Ero1beta,Pancreas
ERO1LB,Pancreas
NOX4,Kidney
KOX,Kidney
KOX-1,Kidney
MT3,Brain
GIF,Brain
GNAO1,Brain
G-ALPHA-o,Brain
PHACTR3,Brain
C20orf101,Brain
PPP1R123,Brain
TPX2,Blood and immune system
C20orf1,Blood and immune system
C20orf2,Blood and immune system
DIL-2,Blood and immune system
p100,Blood and immune system
SLC15A1,GI-tract
HPECT1,GI-tract
HPEPT1,GI-tract
PEPT1,GI-tract
DEFB127,Male tissue
bA530N10.2,Male tissue
C20orf73,Male tissue
DEF-27,Male tissue
F11,Liver
FXI,Liver
CMTM1,Male tissue
CKLFH,Male tissue
CKLFH1a,Male tissue
CKLFSF1,Male tissue
SI,GI-tract
FETUB,Liver
THPO,Liver
MGDF,Liver
MPLLG,Liver
TPO,Liver
DLL3,Brain
SCDO1,Brain
PITPNM2,Blood and immune system
NIR3,Blood and immune system
RDGB2,Blood and immune system
RDGBA2,Blood and immune system
SLC26A4,Endocrine tissue
DFNB4,Endocrine tissue
PDS,Endocrine tissue
TF,Liver
PRO1557,Liver
PRO2086,Liver
MYO15A,Endocrine tissue
DFNB3,Endocrine tissue
MYO15,Endocrine tissue
APOH,Liver
B2G1,Liver
BG,Liver
SLC17A6,Brain
DNPI,Brain
VGLUT2,Brain
CPA1,Pancreas
CPA,Pancreas
SLC7A8,Endocrine tissue
LAT2,Endocrine tissue
LPI-PC1,Endocrine tissue
TINF2,Endocrine tissue
TIN2,Endocrine tissue
DAZL,Male tissue
DAZH,Male tissue
DAZL1,Male tissue
DAZLA,Male tissue
MGC26406,Male tissue
SPGYLA,Male tissue
PDE6C,Eye
ACHM5,Eye
COD4,Eye
PDEA2,Eye
TDRD1,Male tissue
CT41.1,Male tissue
MLN,GI-tract
CATSPERG,Male tissue
C19orf15,Male tissue
DKFZp434A1022,Male tissue
FLJ46353,Male tissue
STX1B,Brain
STX1B1,Brain
STX1B2,Brain
MAGEB2,Male tissue
CT3.2,Male tissue
DAM6,Male tissue
MAGE-XP-2,Male tissue
MGC26438,Male tissue
ATP5F1D,Heart and skeletal muscle
ATP5D,Heart and skeletal muscle
IGFALS,Liver
ALS,Liver
CDHR5,GI-tract
FLJ20219,GI-tract
MU-PCDH,GI-tract
MUCDHL,GI-tract
MUPCDH,GI-tract
IZUMO4,Male tissue
C19orf36,Male tissue
SERPIND1,Liver
D22S673,Liver
HC-II,Liver
HC2,Liver
HCF2,Liver
HLS2,Liver
UPB1,Liver
BUP1,Liver
SEZ6L,Brain
GGTLC2,Male tissue
GGTL4,Male tissue
SLC16A8,Eye
MCT3,Eye
REMP,Eye
44807,Brain
SLC5A1,GI-tract
D22S675,GI-tract
NAGT,GI-tract
SGLT1,GI-tract
SLC5A4,GI-tract
DJ90G24.4,GI-tract
SAAT1,GI-tract
SGLT3,GI-tract
CYP2D6,Liver
CPD6,Liver
CYP2D,Liver
CYP2D7AP,Liver
CYP2D7BP,Liver
CYP2D7P2,Liver
CYP2D8P2,Liver
CYP2DL1,Liver
P450-DB1,Liver
P450C2D,Liver
MIOX,Kidney
ALDRL6,Kidney
RASL10A,Brain
RRP22,Brain
ACR,Male tissue
GRAP2,Blood and immune system
GADS,Blood and immune system
GRBLG,Blood and immune system
GrbX,Blood and immune system
Grf40,Blood and immune system
Mona,Blood and immune system
CTSG,Blood and immune system
CG,Blood and immune system
GZMH,Blood and immune system
CCP-X,Blood and immune system
CGL-2,Blood and immune system
CSP-C,Blood and immune system
CTLA1,Blood and immune system
CTSGL2,Blood and immune system
GZMB,Blood and immune system
CCPI,Blood and immune system
CGL-1,Blood and immune system
CGL1,Blood and immune system
CSP-B,Blood and immune system
CSPB,Blood and immune system
CTSGL1,Blood and immune system
HLP,Blood and immune system
SECT,Blood and immune system
TRIM9,Brain
RNF91,Brain
SPRING,Brain
CDKN3,Male tissue
CDI1,Male tissue
KAP,Male tissue
LRRC74A,Male tissue
C14orf166B,Male tissue
LRRC74,Male tissue
GSTZ1,Liver
GSTZ1-1,Liver
MAAI,Liver
MAI,Liver
ISM2,Female tissue
FLJ32147,Female tissue
TAIL1,Female tissue
THSD3,Female tissue
CHGA,Endocrine tissue
CEP128,Blood and immune system
C14orf145,Blood and immune system
C14orf61,Blood and immune system
SLC10A1,Liver
NTCP,Liver
MTHFD1,Liver
MTHFC,Liver
MTHFD,Liver
HRH3,Brain
GPCR97,Brain
MRGBP,Male tissue
C20orf20,Male tissue
Eaf7,Male tissue
FLJ10914,Male tissue
MRG15BP,Male tissue
NKAIN4,Brain
bA261N11.2,Brain
C20orf58,Brain
FAM77A,Brain
AVP,Brain
ADH,Brain
ARVP,Brain
COL20A1,Brain
KIAA1510,Brain
EEF1A2,Heart and skeletal muscle
EEF1AL,Heart and skeletal muscle
HS1,Heart and skeletal muscle
STN,Heart and skeletal muscle
STNL,Heart and skeletal muscle
SEL1L2,Male tissue
C20orf50,Male tissue
DKFZp434C1826,Male tissue
MYLK2,Heart and skeletal muscle
KMLC,Heart and skeletal muscle
MLCK2,Heart and skeletal muscle
skMLCK,Heart and skeletal muscle
SIRPB1,Blood and immune system
CD172b,Blood and immune system
SIRP-BETA-1,Blood and immune system
HAO1,Liver
GOX,Liver
GOX1,Liver
PDYN,Brain
ADCA,Brain
PENKB,Brain
SCA23,Brain
PAK5,Brain
KIAA1264,Brain
PAK7,Brain
OXT,Brain
OT,Brain
OT-NPI,Brain
OXT-NPI,Brain
RPRD1B,Liver
C20orf77,Liver
CREPT,Liver
dJ1057B20.2,Liver
DKFZp434P0735,Liver
FLJ44520,Liver
K-H,Liver
Kub5-Hera,Liver
NET60,Liver
BPI,Blood and immune system
BPIFD1,Blood and immune system
CST9L,Male tissue
bA218C14.1,Male tissue
CTES7B,Male tissue
SLC32A1,Brain
bA122O1.1,Brain
VGAT,Brain
VIAAT,Brain
CST4,
SPINT3,Male tissue
HKIB9,Male tissue
TNNC2,Heart and skeletal muscle
CELF4,Brain
BRUNOL4,Brain
H2BFM,Male tissue
STS,Female tissue
ARSC,Female tissue
ARSC1,Female tissue
GPR143,Eye
OA1,Eye
GUCY2F,Eye
CYGF,Eye
GC-F,Eye
GUC2DL,Eye
RetGC-2,Eye
ROS-GC2,Eye
F9,Liver
FIX,Liver
CACNA1F,Eye
AIED,Eye
Cav1.4,Eye
CORDX3,Eye
CSNB2,Eye
CSNB2A,Eye
CSNBX2,Eye
JM8,Eye
JMC8,Eye
OA2,Eye
SYP,Brain
MRX96,Brain
BMX,Male tissue
ETK,Male tissue
PSCTK3,Male tissue
LUZP4,Male tissue
CT-8,Male tissue
CT28,Male tissue
HOM-TES-85,Male tissue
PPP1R2C,Male tissue
I-4,Male tissue
PPP1R2P9,Male tissue
OPN1LW,Eye
CBBM,Eye
CBP,Eye
COD5,Eye
RCP,Eye
RS1,Eye
RS,Eye
XLRS1,Eye
GPR50,Endocrine tissue
H9,Endocrine tissue
Mel1c,Endocrine tissue
BRS3,Male tissue
BB3,Male tissue
BB3R,Male tissue
VGLL1,Female tissue
TDU,Female tissue
TONDU,Female tissue
DRP2,Brain
TAF7L,Male tissue
CT40,Male tissue
TAF2Q,Male tissue
HTR2A,Brain
5-HT2A,Brain
HTR2,Brain
KPNA3,Heart and skeletal muscle
hSRP1,Heart and skeletal muscle
IPOA4,Heart and skeletal muscle
SRP1gamma,Heart and skeletal muscle
SRP4,Heart and skeletal muscle
FLT1,Female tissue
FLT,Female tissue
VEGFR1,Female tissue
MT4,Skin
MTIV,Skin
CBLN1,Brain
CCL22,Blood and immune system
A-152E5.1,Blood and immune system
ABCD-1,Blood and immune system
DC/B-CK,Blood and immune system
MDC,Blood and immune system
MGC34554,Blood and immune system
SCYA22,Blood and immune system
STCP-1,Blood and immune system
DHODH,Liver
PRSS54,Male tissue
CT67,Male tissue
FLJ25339,Male tissue
KLKBL4,Male tissue
ZP2,Brain
ZPA,Brain
PRSS33,Blood and immune system
EOS,Blood and immune system
TMC5,GI-tract
FLJ13593,GI-tract
SCG3,Brain
FLJ90833,Brain
SgIII,Brain
JPH1,Heart and skeletal muscle
JP-1,Heart and skeletal muscle
STMN2,Brain
SCG10,Brain
SCGN10,Brain
GML,Endocrine tissue
LY6DL,Endocrine tissue
NEFM,Brain
NEF3,Brain
NF-M,Brain
NFM,Brain
ADAM2,Male tissue
CT15,Male tissue
FTNB,Male tissue
PH-30b,Male tissue
PH30,Male tissue
FGL1,Liver
HFREP-1,Liver
LHB,Endocrine tissue
CGB4,Endocrine tissue
hLHB,Endocrine tissue
LSH-B,Endocrine tissue
KCNA7,Heart and skeletal muscle
HAK6,Heart and skeletal muscle
Kv1.7,Heart and skeletal muscle
SLC17A7,Brain
BNPI,Brain
VGLUT1,Brain
AMH,Male tissue
MIS,Male tissue
DKKL1,Male tissue
CT34,Male tissue
SGY-1,Male tissue
RSPH6A,Male tissue
RSHL1,Male tissue
RSP4,Male tissue
RSP6,Male tissue
RSPH4B,Male tissue
TNNT1,Heart and skeletal muscle
ANM,Heart and skeletal muscle
FLJ98147,Heart and skeletal muscle
MGC104241,Heart and skeletal muscle
NEM5,Heart and skeletal muscle
STNT,Heart and skeletal muscle
TNT,Heart and skeletal muscle
TNTS,Heart and skeletal muscle
CASP14,Skin
MGC119078,Skin
MGC119079,Skin
MICE,Skin
AURKC,Male tissue
ARK3,Male tissue
AurC,Male tissue
STK13,Male tissue
LGALS13,Female tissue
PLAC8,Female tissue
PP13,Female tissue
CLC,Blood and immune system
Gal-10,Blood and immune system
LGALS10,Blood and immune system
MGC149659,Blood and immune system
EBI3,Female tissue
IL27B,Female tissue
IL35B,Female tissue
APLP1,Brain
APLP,Brain
SIGLEC8,Blood and immune system
MGC59785,Blood and immune system
SAF2,Blood and immune system
SIGLEC-8,Blood and immune system
SIGLEC8L,Blood and immune system
LIM2,Blood and immune system
MP17,Blood and immune system
MP19,Blood and immune system
ICAM5,Brain
TLCN,Brain
TLN,Brain
CRX,Eye
CORD2,Eye
CRD,Eye
LCA7,Eye
OTX3,Eye
SULT2A1,Liver
DHEA-ST,Liver
STD,Liver
ZNRF4,Male tissue
RNF204,Male tissue
spzn,Male tissue
Ssrzf1,Male tissue
SYNGR4,Male tissue
SIGLEC6,Female tissue
CD327,Female tissue
CD33L,Female tissue
CD33L1,Female tissue
OB-BP1,Female tissue
SIGLEC-6,Female tissue
CABP5,Eye
CaBP3,Eye
THEG,Male tissue
CT56,Male tissue
THEG1,Male tissue
FGF21,Liver
CACNG7,Brain
MAST1,Brain
KIAA0973,Brain
SAST,Brain
JAK3,Blood and immune system
JAK-3,Blood and immune system
JAK3_HUMAN,Blood and immune system
JAKL,Blood and immune system
L-JAK,Blood and immune system
LJAK,Blood and immune system
KCNN1,Brain
hSK1,Brain
KCa2.1,Brain
RAB3A,Brain
ATP4A,GI-tract
ATP6A,GI-tract
GAPDHS,Male tissue
GAPD2,Male tissue
GAPDH-2,Male tissue
GAPDS,Male tissue
MAG,Brain
GMA,Brain
S-MAG,Brain
SIGLEC-4A,Brain
SIGLEC4A,Brain
TMEM59L,Brain
BSMAP,Brain
C19orf4,Brain
HAMP,Liver
HEPC,Liver
HFE2B,Liver
LEAP-1,Liver
LEAP1,Liver
RASA4,Heart and skeletal muscle
CAPRI,Heart and skeletal muscle
GAPL,Heart and skeletal muscle
KIAA0538,Heart and skeletal muscle
TFPI2,Female tissue
PP5,Female tissue
REF1,Female tissue
TFPI-2,Female tissue
PON3,Liver
RNF32,Male tissue
FKSG33,Male tissue
HSD15,Male tissue
LMBR2,Male tissue
ANKRD7,Male tissue
TSA806,Male tissue
GHRHR,Endocrine tissue
PTPRZ1,Brain
phosphacan,Brain
PTP18,Brain
PTPRZ,Brain
PTPZ,Brain
RPTPB,Brain
SPAM1,Male tissue
HYAL5,Male tissue
PH-20,Male tissue
SPAG15,Male tissue
TFR2,Liver
HFE3,Liver
TFRC2,Liver
FSCN3,Male tissue
FBXO24,Male tissue
FBX24,Male tissue
AGFG2,
HRBL,
RABR,
CLDN15,GI-tract
NOBOX,Male tissue
OG2,Male tissue
Og2x,Male tissue
MYL7,Heart and skeletal muscle
MYL2A,Heart and skeletal muscle
MYLC2A,Heart and skeletal muscle
GCK,Endocrine tissue
HK4,Endocrine tissue
MODY2,Endocrine tissue
GALNTL5,Male tissue
GalNAc-T5L,Male tissue
GALNT15,Male tissue
C5,Liver
C5a,Liver
C5b,Liver
CPAMD4,Liver
AMBP,Liver
EDC1,Liver
HCP,Liver
HI30,Liver
IATIL,Liver
ITI,Liver
ITIL,Liver
ITILC,Liver
UTI,Liver
DNM1,Brain
DNM,Brain
RLN2,Brain
bA12D24.1.1,Brain
bA12D24.1.2,Brain
H2,Brain
RLXH2,Brain
RLN1,Male tissue
H1,Male tissue
TYRP1,Eye
b-PROTEIN,Eye
CAS2,Eye
CATB,Eye
GP75,Eye
OCA3,Eye
TRP,Eye
TYRP,Eye
LHX3,Endocrine tissue
SH3GL2,Brain
CNSA2,Brain
EEN-B1,Brain
SH3D2A,Brain
SH3P4,Brain
ABCA2,Brain
ABC2,Brain
DNTT,Blood and immune system
TDT,Blood and immune system
FGF8,Heart and skeletal muscle
AIGF,Heart and skeletal muscle
DKK1,Female tissue
DKK-1,Female tissue
SK,Female tissue
LGI1,Brain
EPITEMPIN,Brain
EPT,Brain
ETL1,Brain
IB1099,Brain
RUNDC3A,Brain
RAP2IP,Brain
RPIP8,Brain
KRT37,Skin
KRTHA7,Skin
HSD17B1,Female tissue
EDH17B2,Female tissue
EDHB17,Female tissue
HSD17,Female tissue
MGC138140,Female tissue
SDR28C1,Female tissue
PPY,Pancreas
PNP,Pancreas
CACNG1,Heart and skeletal muscle
CACNLG,Heart and skeletal muscle
RCVRN,Eye
RCV1,Eye
MYH1,Heart and skeletal muscle
MGC133384,Heart and skeletal muscle
MYHa,Heart and skeletal muscle
MyHC-2X/D,Heart and skeletal muscle
MYHSA1,Heart and skeletal muscle
VTN,Liver
VN,Liver
TMEM97,Pancreas
MAC30,Pancreas
UNC119,Eye
HRG4,Eye
POC7,Eye
POC7A,Eye
GABRA4,Brain
GNRHR,Endocrine tissue
GRHR,Endocrine tissue
LHRHR,Endocrine tissue
UGT2B10,Liver
ODAM,
APin,
FLJ20513,
SMR3A,
PBI,
PRL5,
PROL5,
AADAT,Liver
KAT2,Liver
KATII,Liver
KYAT2,Liver
NEIL3,Blood and immune system
FLJ10858,Blood and immune system
FPG2,Blood and immune system
hFPG2,Blood and immune system
hNEI3,Blood and immune system
ZGRF3,Blood and immune system
HGFAC,Liver
HGFA,Liver
HGFAP,Liver
NCAPG,Blood and immune system
CAP-G,Blood and immune system
FLJ12450,Blood and immune system
hCAP-G,Blood and immune system
YCG1,Blood and immune system
UGDH,Liver
CRTAM,Brain
CD355,Brain
JHY,Male tissue
C11orf63,Male tissue
FLJ23554,Male tissue
B3GAT1,Brain
CD57,Brain
GlcAT-P,Brain
HNK-1,Brain
LEU7,Brain
NK-1,Brain
NRXN2,Brain
CCDC86,Endocrine tissue
MGC2574,Endocrine tissue
HPX,Liver
APOA5,Liver
APOA-V,Liver
RAP3,Liver
APOA4,GI-tract
APOC3,Liver
SLC1A2,Brain
EAAT2,Brain
GLT-1,Brain
SCGB2A2,Female tissue
MGB1,Female tissue
MGC71974,Female tissue
UGB2,Female tissue
PTPN5,Brain
PTPSTEP,Brain
STEP,Brain
STEP61,Brain
ASIC1,Brain
ACCN2,Brain
BNaC2,Brain
hBNaC2,Brain
CAMKK2,Brain
CAMKK,Brain
CAMKKB,Brain
KIAA0787,Brain
MGC15254,Brain
CYP27B1,Kidney
CYP1,Kidney
P450c1,Kidney
PDDR,Kidney
VDD1,Kidney
MYF6,Heart and skeletal muscle
bHLHc4,Heart and skeletal muscle
MRF4,Heart and skeletal muscle
PRR4,
LPRP,
PROL4,
PRMT8,Brain
HRMT1L3,Brain
HRMT1L4,Brain
AKAP3,Male tissue
AKAP110,Male tissue
CT82,Male tissue
FSP95,Male tissue
SOB1,Male tissue
KCNA1,Brain
AEMK,Brain
HUK1,Brain
Kv1.1,Brain
MBK1,Brain
RBK1,Brain
GSG1,Male tissue
MGC3146,Male tissue
GAPDH,Heart and skeletal muscle
GAPD,Heart and skeletal muscle
ACRBP,Male tissue
CT23,Male tissue
OY-TES-1,Male tissue
SP32,Male tissue
ENO2,Brain
SLCO1B3,Liver
OATP1B3,Liver
OATP8,Liver
SLC21A8,Liver
APOBEC1,GI-tract
APOBEC-1,GI-tract
BEDP,GI-tract
CDAR1,GI-tract
HEPR,GI-tract
GYS2,Liver
KLRB1,Blood and immune system
CD161,Blood and immune system
CLEC5B,Blood and immune system
